Unnamed: 0,artist_name,track_name,track_id,popularity,year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
33794,Up Dharma Down,Tadhana,6FIEuf1JIzmCtach0gXpeG,70,2012,0.685,0.322,6,-13.2,1,0.0369,0.162,0.0299,0.0809,0.508,155.977,222447,4
36378,Linkin Park,BURN IT DOWN,7oVEtyuv9NBmnytsCIsY5I,74,2012,0.585,0.972,9,-4.45,0,0.0534,0.0143,0.0,0.0707,0.585,110.006,230253,4
36380,Linkin Park,CASTLE OF GLASS,1r1fPuhj9H4VdXr7OK6FL5,73,2012,0.615,0.911,1,-3.584,0,0.0278,0.0686,0.00188,0.0908,0.685,108.0,205400,4
36384,Linkin Park,LOST IN THE ECHO,2oNYsdCasRRlz1shXFAz7D,66,2012,0.546,0.98,9,-3.02,0,0.0619,0.0154,0.0,0.31,0.478,120.037,205120,4
40342,Bruno Mars,When I Was Your Man,0nJW01T7XtvILxQgC5J7Wh,87,2012,0.612,0.28,0,-8.648,1,0.0434,0.932,0.0,0.088,0.387,72.795,213827,4
40343,Rihanna,Diamonds,1z9kQ14XBSN0r2v6fx4IdG,75,2012,0.564,0.71,11,-4.92,0,0.0461,0.00125,0.0,0.109,0.393,91.972,225147,4
40344,Rihanna,Pour It Up,76VtA90NKurNqaQpV126Ue,74,2012,0.785,0.478,2,-8.735,1,0.0419,0.0254,0.0,0.0901,0.39,134.002,161200,4
40345,Rihanna,Loveeeeeee Song,3DZQ6mzUkAdHqZWzqxBKIK,72,2012,0.71,0.598,5,-7.598,0,0.0319,0.508,0.0,0.0971,0.501,119.981,256320,4
40346,One Direction,What Makes You Beautiful,4cluDES4hQEUhmXj6TXkSo,82,2012,0.726,0.787,4,-2.494,1,0.0737,0.009,0.0,0.0596,0.888,124.99,199987,4
40347,Rihanna,Stay,789CxjEOtO76BVD1A9yJQH,73,2012,0.621,0.31,9,-10.164,0,0.0283,0.945,6.12e-05,0.117,0.125,111.893,240707,4
40348,fun.,We Are Young (feat. Janelle Monáe),7a86XRg84qjasly9f6bPSD,72,2012,0.378,0.638,10,-5.576,1,0.075,0.02,7.66e-05,0.0849,0.735,184.086,250627,4
40349,Lana Del Rey,Summertime Sadness,1Ist6PR2BZR3n2z2Y5R6S1,73,2012,0.566,0.647,1,-6.815,0,0.0335,0.0477,0.0,0.121,0.22,111.96,264773,4
40350,Maroon 5,Payphone,4P0osvTXoSYZZC2n8IFH3c,70,2012,0.739,0.756,4,-4.828,1,0.0394,0.0136,0.0,0.37,0.523,110.028,231387,4
40351,Maroon 5,One More Night,4XNrMwGx1SqP01sqkGTDmo,69,2012,0.718,0.82,5,-3.453,0,0.0323,0.0444,0.0,0.0846,0.613,92.998,219467,4
40352,Alicia Keys,Girl on Fire,4esOae7i4rqTbAu9o5Pxco,76,2012,0.482,0.706,9,-5.762,1,0.0607,0.135,0.00106,0.105,0.144,92.513,224920,4
40353,fun.,Some Nights,6t6oULCRS6hnI7rm0h5gwl,68,2012,0.672,0.738,0,-7.045,1,0.0506,0.0178,6.75e-05,0.0927,0.392,107.938,277040,4
40354,Lana Del Rey,Video Games,24jvD83UgLmrdGjhWTFslY,69,2012,0.236,0.249,6,-9.595,0,0.0348,0.811,1e-06,0.087,0.181,72.847,281960,5
40355,Taylor Swift,I Knew You Were Trouble.,6FB3v4YcR57y4tXFcdxI1E,76,2012,0.622,0.469,3,-6.798,0,0.0363,0.00454,2.25e-06,0.0335,0.679,77.019,219720,4
40356,Justin Bieber,Beauty And A Beat,190jyVPHYjAqEaOGmMzdyk,75,2012,0.602,0.843,0,-4.831,1,0.0593,0.000688,5.27e-05,0.0682,0.526,128.003,227987,4
40357,Lana Del Rey,Diet Mountain Dew,6BFnRhvKCclDQOajt8dBGi,67,2012,0.442,0.68,10,-5.971,0,0.0858,0.284,0.0,0.421,0.601,176.09,222920,4
40358,Harmless,Swing Lynn,3VCXx37jNGNOMns6z2OnvJ,73,2012,0.464,0.945,2,-1.815,1,0.0401,0.0506,0.756,0.112,0.453,165.177,321438,4
40359,Adele,Skyfall,6VObnIkLVruX4UVyxWhlqm,76,2012,0.346,0.552,0,-6.864,0,0.0282,0.417,0.0,0.114,0.0789,75.881,286480,4
40360,Taylor Swift,We Are Never Ever Getting Back Together,0VwNdo84DaVYLIkbVO86ND,74,2012,0.628,0.676,7,-5.911,1,0.0916,0.00957,2.65e-05,0.121,0.75,85.984,193147,4
40361,Justin Bieber,Boyfriend,3UGIZ8qcrMTwzLbx6Kttqt,72,2012,0.717,0.55,10,-6.019,0,0.0521,0.0358,0.00196,0.126,0.332,96.976,171333,4
